order_id,item_id,product_id,quantity,list_price,discount,source,timestamp_saved,rates.EGP,list_price_egp
1,1,20,1,599.99,0.2,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
1,2,8,2,1799.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,86132.59588292001
1,3,10,2,1549.0,0.05,DB,2024-05-02 09:21:45.429200,47.851708,74122.295692
1,4,16,2,599.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
1,5,4,1,2899.99,0.2,DB,2024-05-02 09:21:45.429200,47.851708,138769.47468292
2,1,20,1,599.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
2,2,16,2,599.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
3,1,3,1,999.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,47851.229482920004
3,2,20,1,599.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
4,1,2,2,749.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,35888.30248292
5,1,10,2,1549.0,0.05,DB,2024-05-02 09:21:45.429200,47.851708,74122.295692
5,2,17,1,429.0,0.07,DB,2024-05-02 09:21:45.429200,47.851708,20528.382732000002
5,3,26,1,599.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
6,1,18,1,449.0,0.07,DB,2024-05-02 09:21:45.429200,47.851708,21485.416892
6,2,12,2,549.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,26317.96088292
6,3,20,1,599.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
6,4,3,2,999.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,47851.229482920004
6,5,9,2,2999.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,143554.64548292
7,1,15,1,529.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,25360.92672292
7,2,3,1,999.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,47851.229482920004
7,3,17,2,429.0,0.1,DB,2024-05-02 09:21:45.429200,47.851708,20528.382732000002
8,1,22,1,269.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,12919.48264292
8,2,20,2,599.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
9,1,7,2,3999.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,191406.35348292
10,1,14,1,269.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,12919.48264292
11,1,8,1,1799.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,86132.59588292001
11,2,22,2,269.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,12919.48264292
11,3,16,2,599.99,0.2,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
12,1,4,2,2899.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,138769.47468292
12,2,11,1,1680.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,80438.24263092001
13,1,13,1,269.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,12919.48264292
13,2,17,2,429.0,0.05,DB,2024-05-02 09:21:45.429200,47.851708,20528.382732000002
13,3,20,2,599.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
13,4,16,2,599.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
14,1,6,1,469.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,22489.82424292
15,1,12,2,549.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,26317.96088292
15,2,8,1,1799.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,86132.59588292001
15,3,18,2,449.0,0.05,DB,2024-05-02 09:21:45.429200,47.851708,21485.416892
15,4,23,2,299.99,0.2,DB,2024-05-02 09:21:45.429200,47.851708,14355.03388292
16,1,8,1,1799.99,0.2,DB,2024-05-02 09:21:45.429200,47.851708,86132.59588292001
16,2,21,1,269.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,12919.48264292
16,3,13,2,269.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,12919.48264292
16,4,14,1,269.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,12919.48264292
17,1,8,1,1799.99,0.07,DB,2024-05-02 09:21:45.429200,47.851708,86132.59588292001
17,2,23,1,299.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,14355.03388292
17,3,5,1,1320.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,63211.62775092
17,4,20,2,599.99,0.2,DB,2024-05-02 09:21:45.429200,47.851708,28710.54628292
18,1,2,2,749.99,0.2,DB,2024-05-02 09:21:45.429200,47.851708,35888.30248292
18,2,22,1,269.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,12919.48264292
18,3,7,1,3999.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,191406.35348292
18,4,25,2,499.99,0.05,DB,2024-05-02 09:21:45.429200,47.851708,23925.37548292
18,5,9,2,2999.99,0.1,DB,2024-05-02 09:21:45.429200,47.851708,143554.64548292
