order_id,customer_id,order_date,required_date,shipped_date,store_id,staff_id,late_delivery,latency_days,weekend,item_id,product_id,quantity,discount,rates.EGP,list_price_egp,product_name,brand_id,category_id,model_year,order_status
1,259,2016-01-01,2016-01-03,2016-01-03,1,2,False,0 days,True,1,20,1,0.2,47.851708,28710.54628292,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,Completed
1,259,2016-01-01,2016-01-03,2016-01-03,1,2,False,0 days,True,2,8,2,0.07,47.851708,86132.59588292001,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,Completed
1,259,2016-01-01,2016-01-03,2016-01-03,1,2,False,0 days,True,3,10,2,0.05,47.851708,74122.295692,Surly Straggler - 2016,8,4,2016,Completed
1,259,2016-01-01,2016-01-03,2016-01-03,1,2,False,0 days,True,4,16,2,0.05,47.851708,28710.54628292,Electra Townie Original 7D EQ - 2016,1,3,2016,Completed
1,259,2016-01-01,2016-01-03,2016-01-03,1,2,False,0 days,True,5,4,1,0.2,47.851708,138769.47468292,Trek Fuel EX 8 29 - 2016,9,6,2016,Completed
2,1212,2016-01-01,2016-01-04,2016-01-03,2,6,False,0 days,True,1,20,1,0.07,47.851708,28710.54628292,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,Completed
2,1212,2016-01-01,2016-01-04,2016-01-03,2,6,False,0 days,True,2,16,2,0.05,47.851708,28710.54628292,Electra Townie Original 7D EQ - 2016,1,3,2016,Completed
3,523,2016-01-02,2016-01-05,2016-01-03,2,7,False,0 days,True,1,3,1,0.05,47.851708,47851.22948292,Surly Wednesday Frameset - 2016,8,6,2016,Completed
3,523,2016-01-02,2016-01-05,2016-01-03,2,7,False,0 days,True,2,20,1,0.05,47.851708,28710.54628292,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,Completed
4,175,2016-01-03,2016-01-04,2016-01-05,1,3,True,1 days,False,1,2,2,0.1,47.851708,35888.30248292,Ritchey Timberwolf Frameset - 2016,5,6,2016,Completed
5,1324,2016-01-03,2016-01-06,2016-01-06,2,6,False,0 days,False,1,10,2,0.05,47.851708,74122.295692,Surly Straggler - 2016,8,4,2016,Completed
5,1324,2016-01-03,2016-01-06,2016-01-06,2,6,False,0 days,False,2,17,1,0.07,47.851708,20528.382732,Pure Cycles Vine 8-Speed - 2016,4,3,2016,Completed
